location,bhk,built_up_area,transaction,status,totalfloor,furnishing,facing,bathroom,floor_category,luxury_category,price
gota/jagatpur/newranip/sola,1,407,New Property,Ready to Move,14,Unfurnished,North - East,1,High Floor,Low,0.29
shantipura circle/sanathal,1,717,New Property,Under Construction,14,Unfurnished,East,1,Mid Floor,Low,0.28
gota/jagatpur/newranip/sola,1,502,New Property,Under Construction,10,Unfurnished,East,1,Mid Floor,Low,0.29
shantipura circle/sanathal,1,441,New Property,Under Construction,14,Unfurnished,East,1,Mid Floor,Low,0.3
vastral/sardar patel ring rd/odhav,1,715,Resale,Ready to Move,5,Unfurnished,North - East,1,Low Floor,Low,0.24
gota/jagatpur/newranip/sola,1,545,Resale,Ready to Move,12,Unfurnished,East,1,Mid Floor,Low,0.3
vastral/sardar patel ring rd/odhav,1,684,Resale,Ready to Move,7,Unfurnished,North,1,Mid Floor,Low,0.18
narolgam/vatva/ghodasar,2,900,Resale,Ready to Move,7,Unfurnished,East,1,Low Floor,Low,0.27
narolgam/vatva/ghodasar,1,561,Resale,Ready to Move,7,Semi-Furnished,North - East,1,Mid Floor,Low,0.22
chandkheda,1,605,Resale,Ready to Move,5,Unfurnished,North,1,Mid Floor,Low,0.3
narolgam/vatva/ghodasar,3,825,Resale,Ready to Move,7,Unfurnished,East,2,Low Floor,Medium,0.25
shantipura circle/sanathal,1,506,New Property,Under Construction,14,Unfurnished,East,1,Mid Floor,Low,0.29
shantipura circle/sanathal,1,440,New Property,Under Construction,14,Unfurnished,East,1,Mid Floor,Low,0.26
vastral/sardar patel ring rd/odhav,1,462,Resale,Ready to Move,14,Unfurnished,East,1,Mid Floor,Low,0.21
gota/jagatpur/newranip/sola,1,630,Resale,Ready to Move,14,Unfurnished,East,1,Mid Floor,Low,0.26
nikol,1,802,New Property,Ready to Move,7,Unfurnished,East,1,Low Floor,Low,0.21
narolgam/vatva/ghodasar,1,495,Resale,Ready to Move,14,Unfurnished,North,1,Low Floor,Low,0.27
vastral/sardar patel ring rd/odhav,2,673,Resale,Ready to Move,7,Semi-Furnished,East,1,Mid Floor,Medium,0.29
narolgam/vatva/ghodasar,2,738,Resale,Ready to Move,7,Furnished,South - East,1,Mid Floor,Medium,0.22
narolgam/vatva/ghodasar,2,927,New Property,Ready to Move,6,Unfurnished,East,1,Mid Floor,Low,0.25
narolgam/vatva/ghodasar,1,630,Resale,Ready to Move,5,Unfurnished,East,1,Low Floor,Low,0.12
vastral/sardar patel ring rd/odhav,1,528,Resale,Ready to Move,5,Furnished,East,1,Mid Floor,Low,0.22
vastral/sardar patel ring rd/odhav,1,504,Resale,Ready to Move,12,Unfurnished,West,1,Mid Floor,Low,0.21
gota/jagatpur/newranip/sola,1,451,Resale,Ready to Move,12,Unfurnished,North - East,1,Mid Floor,Low,0.29
prahlad nagar/jivraj park/vejalpur/jodhpur,1,649,Resale,Ready to Move,5,Unfurnished,East,1,Low Floor,Low,0.28
hathijan,2,660,Resale,Ready to Move,7,Unfurnished,East,1,Low Floor,Low,0.25
narolgam/vatva/ghodasar,2,945,Resale,Ready to Move,5,Unfurnished,North,1,Low Floor,Low,0.21
narolgam/vatva/ghodasar,2,9801,New Property,Ready to Move,7,Unfurnished,South -West,1,Low Floor,Medium,0.23
hathijan,1,675,Resale,Ready to Move,7,Semi-Furnished,East,1,Mid Floor,Low,0.21
vastral/sardar patel ring rd/odhav,1,660,Resale,Ready to Move,5,Unfurnished,North - West,1,Low Floor,Low,0.28
narolgam/vatva/ghodasar,2,900,Resale,Ready to Move,5,Unfurnished,North,1,Mid Floor,Low,0.2
narolgam/vatva/ghodasar,2,1080,Resale,Ready to Move,5,Furnished,North,1,Mid Floor,Medium,0.21
changodar/bhat,1,495,Resale,Other,5,Unfurnished,East,1,Mid Floor,Low,0.15
shantipura circle/sanathal,1,396,Resale,Other,14,Unfurnished,East,1,Mid Floor,Low,0.29
narolgam/vatva/ghodasar,2,1040,Resale,Ready to Move,5,Semi-Furnished,West,1,Low Floor,Low,0.21
prahlad nagar/jivraj park/vejalpur/jodhpur,1,663,Resale,Ready to Move,3,Unfurnished,East,1,Low Floor,Low,0.28
prahlad nagar/jivraj park/vejalpur/jodhpur,1,630,Resale,Ready to Move,3,Semi-Furnished,East,1,Low Floor,Low,0.29
gota/jagatpur/newranip/sola,1,385,Resale,Ready to Move,12,Unfurnished,North,1,Low Floor,Low,0.29
prahlad nagar/jivraj park/vejalpur/jodhpur,1,693,Resale,Ready to Move,2,Unfurnished,North - East,1,Low Floor,Low,0.24
