,location,latitude,longitude
0,gota/jagatpur/newranip/sola,23.1010002,72.5408363
1,shantipura circle/sanathal,22.987597,72.47144058390487
2,vastral/sardar patel ring rd/odhav,22.9948656,72.6624431
3,narolgam/vatva/ghodasar,22.9641614,72.5903337
4,chandkheda,23.1100643,72.5811205
5,nikol,23.058932900000002,72.6718736720388
6,prahlad nagar/jivraj park/vejalpur/jodhpur,23.0002435,72.5054049
7,hathijan,22.9411139,72.6674473
8,changodar/bhat,22.9402206,72.4567127
9,naroda/hansol,23.0854097,72.6580946
10,shahibag/khokhra/saraspur,23.0215,72.5788
11,bopal/ghuma/shilaj/ambli,23.023538549999998,72.47052697610516
12,zundal,23.1309,72.5852
13,sanand/godhavi,23.0238876,72.3851475
14,gandhinagar highway,23.0876721,72.6300562
15,bodakdev/satellite/sindhubhavan marg,23.0445921,72.517344
16,chharodi/tragad,23.12295955,72.54044594045365
17,shela,23.013137049999997,72.45356756504998
18,vaishnodevi circle,23.0428,72.5964
19,motera,23.0917717,72.59733447335586
20,chankyapuri/ognaj/ghatlodiya,23.0289,72.5576
21,paldi/derasar-rd/ambawadi,23.0145531,72.5635432
22,thaltej,23.0485393,72.511742
23,navrangpura/memnagar/ellisbridge,23.0359998,72.5643429
24,drive in rd/gurukul/naranpura,23.0448126,72.5436264
25,khodiyar,23.1559206,72.5483
26,makarba/sarkhej,22.996342,72.5043085
27,science city,23.077854,72.49479798780331
