location,bhk,areawithtype,area,built_up_area,transaction,status,floornum,totalfloor,furnishing,facing,price_per_sqft,price,latitude,longitude
gota/jagatpur/newranip/sola,1,Carpet Area,370,407,New Property,Ready to Move,13,14,Unfurnished,North - East,4538,0.29,23.1010002,72.5408363
shantipura circle/sanathal,1,Super Area,717,717,New Property,Under Construction,6,14,Unfurnished,East,3905,0.28,22.987597,72.47144058390487
gota/jagatpur/newranip/sola,1,Carpet Area,456,502,New Property,Under Construction,5,10,Unfurnished,East,3314,0.29,23.1010002,72.5408363
shantipura circle/sanathal,1,Carpet Area,401,441,New Property,Under Construction,5,14,Unfurnished,East,4110,0.3,22.987597,72.47144058390487
vastral/sardar patel ring rd/odhav,1,Carpet Area,650,715,Resale,Ready to Move,1,5,Unfurnished,North - East,3000,0.24,22.9948656,72.6624431
gota/jagatpur/newranip/sola,1,Super Area,545,545,Resale,Ready to Move,7,12,Unfurnished,East,5505,0.3,23.1010002,72.5408363
vastral/sardar patel ring rd/odhav,1,Super Area,684,684,Resale,Ready to Move,6,7,Unfurnished,North,2705,0.18,22.9948656,72.6624431
narolgam/vatva/ghodasar,2,Super Area,900,900,Resale,Ready to Move,1,7,Unfurnished,East,2944,0.27,22.9641614,72.5903337
narolgam/vatva/ghodasar,1,Carpet Area,510,561,Resale,Ready to Move,3,7,Semi-Furnished,North - East,4314,0.22,22.9641614,72.5903337
chandkheda,1,Carpet Area,550,605,Resale,Ready to Move,3,5,Unfurnished,North,2857,0.3,23.1100643,72.5811205
narolgam/vatva/ghodasar,3,Carpet Area,750,825,Resale,Ready to Move,1,7,Unfurnished,East,2525,0.25,22.9641614,72.5903337
shantipura circle/sanathal,1,Carpet Area,460,506,New Property,Under Construction,4,14,Unfurnished,East,4085,0.29,22.987597,72.47144058390487
shantipura circle/sanathal,1,Carpet Area,400,440,New Property,Under Construction,5,14,Unfurnished,East,3600,0.26,22.987597,72.47144058390487
vastral/sardar patel ring rd/odhav,1,Carpet Area,420,462,Resale,Ready to Move,10,14,Unfurnished,East,3251,0.21,22.9948656,72.6624431
gota/jagatpur/newranip/sola,1,Super Area,630,630,Resale,Ready to Move,9,14,Unfurnished,East,4127,0.26,23.1010002,72.5408363
nikol,1,Carpet Area,729,802,New Property,Ready to Move,1,7,Unfurnished,East,2889,0.21,23.0589329,72.6718736720388
narolgam/vatva/ghodasar,1,Carpet Area,450,495,Resale,Ready to Move,1,14,Unfurnished,North,4052,0.27,22.9641614,72.5903337
vastral/sardar patel ring rd/odhav,2,Carpet Area,612,673,Resale,Ready to Move,4,7,Semi-Furnished,East,3069,0.29,22.9948656,72.6624431
narolgam/vatva/ghodasar,2,Super Area,738,738,Resale,Ready to Move,5,7,Furnished,South - East,2981,0.22,22.9641614,72.5903337
narolgam/vatva/ghodasar,2,Super Area,927,927,New Property,Ready to Move,4,6,Unfurnished,East,2670,0.25,22.9641614,72.5903337
narolgam/vatva/ghodasar,1,Super Area,630,630,Resale,Ready to Move,2,5,Unfurnished,East,1905,0.12,22.9641614,72.5903337
vastral/sardar patel ring rd/odhav,1,Carpet Area,480,528,Resale,Ready to Move,4,5,Furnished,East,2981,0.22,22.9948656,72.6624431
vastral/sardar patel ring rd/odhav,1,Carpet Area,458,504,Resale,Ready to Move,8,12,Unfurnished,West,3251,0.21,22.9948656,72.6624431
gota/jagatpur/newranip/sola,1,Carpet Area,410,451,Resale,Ready to Move,10,12,Unfurnished,North - East,4833,0.29,23.1010002,72.5408363
prahlad nagar/jivraj park/vejalpur/jodhpur,1,Carpet Area,590,649,Resale,Ready to Move,2,5,Unfurnished,East,3889,0.28,23.0002435,72.5054049
hathijan,2,Carpet Area,600,660,Resale,Ready to Move,2,7,Unfurnished,East,1984,0.25,22.9411139,72.6674473
narolgam/vatva/ghodasar,2,Super Area,945,945,Resale,Ready to Move,1,5,Unfurnished,North,2222,0.21,22.9641614,72.5903337
narolgam/vatva/ghodasar,2,Carpet Area,8910,9801,New Property,Ready to Move,2,7,Unfurnished,South -West,258,0.23,22.9641614,72.5903337
hathijan,1,Super Area,675,675,Resale,Ready to Move,4,7,Semi-Furnished,East,3111,0.21,22.9411139,72.6674473
vastral/sardar patel ring rd/odhav,1,Carpet Area,600,660,Resale,Ready to Move,1,5,Unfurnished,North - West,3321,0.28,22.9948656,72.6624431
narolgam/vatva/ghodasar,2,Super Area,900,900,Resale,Ready to Move,4,5,Unfurnished,North,2183,0.2,22.9641614,72.5903337
narolgam/vatva/ghodasar,2,Super Area,1080,1080,Resale,Ready to Move,4,5,Furnished,North,1944,0.21,22.9641614,72.5903337
changodar/bhat,1,Carpet Area,450,495,Resale,Other,3,5,Unfurnished,East,2153,0.15,22.9402206,72.4567127
shantipura circle/sanathal,1,Carpet Area,360,396,Resale,Other,7,14,Unfurnished,East,4126,0.29,22.987597,72.47144058390487
narolgam/vatva/ghodasar,2,Super Area,1040,1040,Resale,Ready to Move,2,5,Semi-Furnished,West,2019,0.21,22.9641614,72.5903337
